source_line,asin,user_id,rating,title,text,reference_label,prediction,status,error_detail
23091,B01E4QUN0W,AFDJVMD6YJVRFCLRILUXDIEGYCKQ,5.0,Cute Idea!,Cute gift card!,POSITIVE,POSITIVE,ok,
40738,B071VCQJ24,AH4L4UCBLQ7SAK42B3WFE7T4DVUQ,5.0,Good product,The snowman is very cute. I like it.,POSITIVE,POSITIVE,ok,
111169,B08LP1CTR2,AH7UIRVM7HRMNW4CUOS6HODYRO2Q,5.0,very convenient way to send gift card,Very easy and convenient way to send a gift card. Fast delivery.,POSITIVE,POSITIVE,ok,
91255,B01K8RMDO0,AE2ZPIPRU52ZIEAIOL5D2F5ZHEXA,4.0,Beautiful Box...,"The box is gorgious and I love almost everything about it... But when I opened the box I was met by a flimsy paper card. I expected a nice plastic gift card and after the superb box, my expectations were much much higher than what I got. Buy this for the beautiful box but don't expect anything from the card.",POSITIVE,NEUTRAL,ok,
29261,B01MSBQB1P,AGAI36BBMVN3ERLIGK56XUSD6STA,5.0,Nice way to give a gift.,I was a bit worried because of all the reviews saying they couldn't use the card.  I sent this to my son as a gift.  He read the back on how to use it and didn't have the first problem. I would buy it again.,POSITIVE,POSITIVE,ok,
144097,B00IX1I3G6,AEBKAIUD2EBJBPVQNN4RPZK4ZXSA,5.0,Five Stars,worked fine,POSITIVE,POSITIVE,ok,
136227,B07GTM8YBY,AG6RIVJ5PQ4KYZ6DKN5VGCPHSM6A,5.0,great job,great value,POSITIVE,POSITIVE,ok,
48527,B01E4QRHJ2,AE3566W7LOM33DMSV4XEMYYLIMHQ,5.0,The look and color true,My adult grandson liked as a Christmas gift..hopefully he has used😊,POSITIVE,POSITIVE,ok,
144248,B07FMK2JQ8,AHPLDDXZOXJD2V25JYF65PAX4HRQ,5.0,Awesome gift,Loved it,POSITIVE,POSITIVE,ok,
56878,B0091JKYLQ,AG4BTMJBZQL6MJ6MNXJNCOBDU2FA,5.0,"Christmas presents (4) for the four grandchildren ages 8, ...","Christmas presents (4) for the four grandchildren ages 8,9,10,11.... Combo of my son and daughter. The kids went bananas and it gave them a chance to think about what they wanted and what it was work to them. NO COMPLAINTS!!!!!!",POSITIVE,POSITIVE,ok,
145649,B01E4QRN14,AHL4UBCGKL7XQGOFX5HMGWAD6K7Q,5.0,Beautiful box great Christmas gift,Beautiful box  great Christmas gift,POSITIVE,POSITIVE,ok,
51097,B014S24HZE,AFYVBBRVRI3E2WV27VGWLOPE2SLA,5.0,Five Stars,Christmas gift for my dad who you don't know what to get them.,POSITIVE,POSITIVE,ok,
25152,B086KKT3RX,AFXBT7QWKLXPRSFYUDIHFRYWHLDQ,5.0,Reload,As described. You get in your account what you deposit,POSITIVE,NEUTRAL,ok,
72604,B072P5VV4D,AE4MIJLE7242WCSTSNCIICOFKZ4Q,5.0,Excellent Christmas gift,Awesome!!,POSITIVE,POSITIVE,ok,
136450,B00BXLVT3M,AFZU5YS5SWQP7BWJRECET54HDPNA,5.0,Gift Card,We love Roosters!,POSITIVE,POSITIVE,ok,
123684,B005ESMHN6,AGSVUMWEO5HGCH6I6R3AHRBLM6FA,5.0,Five Stars,Great!!!,POSITIVE,POSITIVE,ok,
143743,B00IX1I3G6,AFPOW5Y2YUFM4HSWAT4TSVNNEA7A,5.0,Five Stars,👌,POSITIVE,POSITIVE,ok,
146565,B01E4QP02S,AFBQWISNMBPXVMZH2ILENOCC3H6Q,5.0,Great item,Great item,POSITIVE,POSITIVE,ok,
57813,B00BXLT664,AHCOWWXJQL3HFRCXNFHF7TSBA4SA,5.0,Five Stars,Perfect gift card!,POSITIVE,POSITIVE,ok,
37813,B01EGRSZP4,AF2HPSCX2263B33RZ2JSH55A65AA,5.0,Five Stars,"Its a gift card, so...",POSITIVE,NEUTRAL,ok,
130848,B00ISCEAMG,AGJICOTL7RIVYLR7YXU7YMFFN7WA,4.0,Last minute life-saver - updated review,"Great idea!  A couple of these were included with a recent order.  I've already used one, and can see keeping them on hand for last-minute gifts.  The ones I got were a generic one and a Christmas design.<br />Update:  I should have said that the flex cards I first received unsolicited were cardstock ""stickers"" that I peeled off a backing to reveal the serial numbers.  The ones you can order are actual plastic gift cards.  I actually prefer the paper ones - they can be literally stuck inside a greeting card and mailed without the tell-tale hard plastic card.  Too bad - guess I have to go back to emailing gift cards.",POSITIVE,POSITIVE,ok,
40348,B00BXLVO2S,AH4S6IQ7BWFB3OHJDB74HCFGERWA,5.0,Great price,Great price,POSITIVE,POSITIVE,ok,
25307,B01E4QUN0W,AECHVWYPUMUKELBPO7DJMLGXMHMA,5.0,"Very fast shipping. Other than that, it's a ...","Very fast shipping.  Other than that, it's a gift card.",POSITIVE,NEUTRAL,ok,
89993,B07Q41YCPJ,AFZYTHKKLQRD2XCK6QFZPYVI6MYQ,5.0,Gift Card Putchase,Love that I didn’t have to go to a shopping mall to get my daughter this gift card!!!!!,POSITIVE,POSITIVE,ok,
29983,B00JDQJVF2,AENKQJZ52VEJSUD5UIBRXY3NTCGQ,5.0,Fun gift tin!,Fun metal cupcake tin packaging for a girl's birthday!  And didn't cost extra!,POSITIVE,POSITIVE,ok,
143187,B00IX1I3G6,AEGDQUIQPTRGEJ25FAG53BTSBJHQ,5.0,Five Stars,It's good and quikly.,POSITIVE,POSITIVE,ok,
32571,B00IX1I3G6,AGVW3IXHHIDNKA54A2DVK52UIGDQ,5.0,It was a gift from My son and his wife.,Even though I spent some of it on grandkids it wa fun to shop with.,POSITIVE,POSITIVE,ok,
76051,B00FTGTM5E,AHAN4QD3YHFJOP4HY47JCY7UURYA,5.0,Five Stars,"Delivery was faster than expected, all cards were working.",POSITIVE,POSITIVE,ok,
144345,B005ESMEI4,AHCK3SRQAOEEB5WFSYBAZUPG5TAA,5.0,Perfect number 3,"I have three great grandsons who are brothers, and each one of them hinted for an Amazon.com gift card for Christmas.  I was able to meet the expectations of all three with one transaction, and the cards arrived right on schedule.",POSITIVE,POSITIVE,ok,
