source_line,asin,user_id,rating,title,text,reference_label,prediction,status,nrc_primary_emotion,nrc_tie,nrc_tied_emotions,nrc_no_match,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_sadness,nrc_surprise,nrc_trust,nrc_negative,nrc_positive
1,B00IX1I3G6,AHZ6XMOLEWA67S3TX7IWEXXGWSOA,5.0,Great gift,Having Amazon money is always good.,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise,no,1,3,0,0,3,0,3,2,0,3
2,B005ESMMWW,AFZUK3MTBIBEDQOPAK3OATUOUKLA,5.0,amazon gift card,Always the perfect gift.  I have never given one and had someone seem or act disappointed.  Just the opposite.  They are thrilled and excited to have a bit of a spree.  Always the perfect size and color!  Arrives in 1 day in most cases.  So it's never too late!  Lots of cards to chose from... thank you... birthday... wedding..baby..  and many that work for many occasions...,POSITIVE,POSITIVE,ok,joy,no,joy,no,1,6,1,0,7,2,4,3,3,7
3,B01K8RIM5Y,AFZUK3MTBIBEDQOPAK3OATUOUKLA,5.0,perfect gift,When you have a person who is hard to shop for.. an amazon gift card is P E R F E C T.  Man or woman...  No matter what their hobby... lifestyle.. or age.  All you have to do is pick the $.  Don't forget to mention that it is a GIFT when you check out - you will have some gift card options.  I've ordered many of these over years.  They are always received with glee.  Woo hoo!  If you're looking for a great fit for me - this is just my size!  :)  Best to all!,POSITIVE,POSITIVE,ok,joy,no,joy,no,0,5,0,0,7,0,4,2,1,10
4,B0091JKVU0,AFZUK3MTBIBEDQOPAK3OATUOUKLA,5.0,Nice looking,"The tin is a nice touch and pretty large.  It's about 4&#34; in diameter and about 1/2&#34; thick.  I added a pretty red ribbon and it is perfect.  Who doesn't love shopping on Amazon? Arrived quickly, I have Prime... but I think they ship the gift cards out SUPER fast... like over night. In case you need it for a FAST gift.",POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy,no,1,8,0,1,8,1,3,4,1,9
5,B00FTGTM5E,AH5L7ILVA6HYLZOUZIQAWNHVVK3A,1.0,Not $10 Gift Cards,"I bought this pack of Starbucks Gift cards in 2019. Ive given them to friends and I gave 2 to my daughter.<br />My daughter used one recently and it had $6.52 on the card not $10.00. She had the cashier check the balance of the other card and it had $5.32 on it! She had forgotten that she had these gift cards, so yes, 2 years later decided to use the when she found them! Do they decline in value? And then both had random amounts on them! I'm embarrassed now to have given them as gifts! Friends receiving the gift card aren't going to tell you that weren't able to cover their order with the card you gave them!!!",NEGATIVE,NEGATIVE,ok,joy,no,joy,no,0,5,0,1,8,1,5,3,2,9
6,B072L7GTF5,AECABX3OO3GK7FCPZLFM3LT2E6UA,5.0,Cute!,That snowman tin is adorable,POSITIVE,POSITIVE,ok,joy,no,joy,no,0,0,0,0,1,0,0,0,0,2
7,B00IX1I3G6,AFSCQMP2EPYLGJN7OBTMEXCBE2OQ,5.0,Easy gift,Great and easy gift,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise,no,0,2,0,0,2,0,2,0,0,2
8,B072P5VV4D,AF4XAUOI5XPGWHCPOTORKBIJSRDA,5.0,Great gift,Super cute nice quality tin<br />Your choose amount,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise,no,0,1,0,0,1,0,1,0,0,2
9,B072P5VV4D,AGJXTLEOLLTIX5AAGFPBZ7CNNVOQ,5.0,Gifts for my two granddaughters,They love it !!,POSITIVE,POSITIVE,ok,joy,no,joy,no,0,0,0,0,1,0,0,0,0,1
10,B071NM2PNL,AG7QDTQYHFOIXFWSVUUBZOEIW2NA,5.0,"Great for saying “thank you” to the mail person, farrier, yard man,etc",So many people<br />Make your life better so remember them!,POSITIVE,POSITIVE,ok,anticipation,no,anticipation,no,0,1,0,0,0,0,0,0,0,0
11,B01GKWEH64,AGVVUU3QRQBHNASSGI5YQLPYOI2Q,5.0,"Convenient, safe, and perfect gift","My grandson inlaw loves his gift cards, so it's the perfect gift for Christmas",POSITIVE,POSITIVE,ok,joy,no,joy,no,0,5,0,0,6,0,3,3,0,7
12,B084RMVP59,AH4O5W3EM4CKQGHMBVTSPCJRYF7Q,5.0,Giftcard,"What can you say about a gift card? Well, it was valid. It's a good gift for someone who doesn't like to cook. Arrived promptly.",POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise,no,0,3,0,0,3,0,3,1,0,3
13,B07HJHK8Y5,AG3BG6PCNVQKVYNWHT7IJHEKUQAA,5.0,Simple giftcard!,Easy way to gift money for birthdays.,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise,no,1,2,0,0,2,0,2,1,0,2
14,B0866T1TQJ,AG3BG6PCNVQKVYNWHT7IJHEKUQAA,5.0,Great giftcard,Great gift for online shoppers!,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise,no,0,1,0,0,1,0,1,0,0,1
15,B00IX1I3G6,AFO3G62P2JXCNMWZTAIB56KPG56A,5.0,Easy..,Reloading is easy. Shopping is easy. Amazon is easy.,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise;trust,no,0,1,0,0,1,0,1,1,0,1
16,B00X6G8WCI,AEMW2ADCJBXXCQLXQVM3RJEK53TQ,1.0,One Star,Card did not work!!!!,NEGATIVE,NEGATIVE,ok,anticipation,yes,anticipation;joy;trust,no,0,1,0,0,1,0,0,1,0,1
17,B01K8RMDO0,AECK3BJSJOAFSKAAUD4ILDFXZ7KQ,5.0,Great Product.,I bought this for a Christmas gift.The recipient really liked it.,POSITIVE,POSITIVE,ok,anticipation,no,anticipation,no,0,2,0,0,1,0,1,0,0,1
18,B01IE42ST4,AH5ZBPCVWAAGJCOPLXMFXD7PGIJQ,5.0,No note attached to sent gift card,"What a pretty gift card presentation , the recipient loved it ! I have one complaint , I took the time and wrote a short note to the recipient of the gift card so she knew who and why the GC was being sent but the note wasn’t attached. I’ve used the option to write a note on many occasions and several times it showed up without the note . I actually had to contact her to ask if she had checked her mail knowing it had arrived .",POSITIVE,POSITIVE,ok,anticipation,no,anticipation,no,1,8,0,0,4,0,3,1,1,7
19,B06W5SBSL7,AFWK5HW3FB4HNVYJUHU5ZW7NPCYA,5.0,Gift card,Perfect! Arrived just when stated!,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy,no,0,2,0,0,2,0,1,1,0,2
20,B078VSWVGY,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good,Good gift card,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise,no,0,3,0,0,3,0,3,2,0,3
21,B072F9T6VX,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good Product,Good Product,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise;trust,no,0,2,0,0,2,0,2,2,0,2
22,B01C9MW8Z6,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good Product,Good Product,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise;trust,no,0,2,0,0,2,0,2,2,0,2
23,B072BQ7XSH,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good Product,Good Product,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise;trust,no,0,2,0,0,2,0,2,2,0,2
24,B01IE42ST4,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good Product,Good Product,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise;trust,no,0,2,0,0,2,0,2,2,0,2
25,B07HJD9FVV,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good Product,Good Product,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise;trust,no,0,2,0,0,2,0,2,2,0,2
26,B07HJHK8Y5,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good product,Good product,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise;trust,no,0,2,0,0,2,0,2,2,0,2
27,B00BXLWD0U,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good product,Good product,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise;trust,no,0,2,0,0,2,0,2,2,0,2
28,B01MSBQB1P,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good Product,Good Product,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise;trust,no,0,2,0,0,2,0,2,2,0,2
29,B01K8RMDO0,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good Product,Good Product,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise;trust,no,0,2,0,0,2,0,2,2,0,2
30,B07PFLG7VG,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good,Good,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise;trust,no,0,2,0,0,2,0,2,2,0,2
31,B07FK7L976,AFEJKJ56OD6H2XH55DGHJI2526MA,5.0,Gift card,Perfect for Christmas,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy,no,0,2,0,0,2,0,1,1,0,2
32,B00IX1I3G6,AEINWALDRYT4NTF3M5NC2WZ5YQNA,5.0,So easy,Easy to do,POSITIVE,POSITIVE,ok,NO_MATCH,no,,yes,0,0,0,0,0,0,0,0,0,0
33,B00IX1I3G6,AHVPSZCUQH3UMQCGQSDZ7BZVUHNQ,2.0,Mistake,Hit button by mistake n deduction from credit card on file,NEGATIVE,NEGATIVE,ok,sadness,no,sadness,no,1,0,0,0,0,2,0,1,3,1
34,B01K8RL9C2,AFPHKIJFGIU4G4POXRFCEF5RJJHA,5.0,Great gift idea,Always great to order from my home. Amazon rocks!,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise,no,0,1,0,0,1,0,1,0,0,1
35,B01K8RL9C2,AGQSSZPF5DTU56OIYEZVVKTMKJIQ,5.0,Secure,So easy to use and recipients get to choose how to use it.,POSITIVE,POSITIVE,ok,NO_MATCH,no,,yes,0,0,0,0,0,0,0,0,0,0
36,B01C9MW8Z6,AHHKNZRXSHRMSGS4WZU4G2XUFF6A,5.0,Birthday surprise!,This was a good birthday surprise!,POSITIVE,POSITIVE,ok,joy,yes,joy;surprise,no,0,3,0,2,5,0,5,1,0,5
37,B077T9WSSN,AGOXD3ECHHH2XAFGO6TSSMRZJQVQ,5.0,Birthday Gift,"Have given as Holiday, Birthday & Other Occasions remembrances. Always appreciated by the person receiving.",POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy,no,0,5,0,0,5,0,4,0,0,5
38,B01MSBQB1P,AEMM65JNJARUZ23W4LY7737WXIXQ,5.0,Fun,Awesome & they work,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy,no,0,1,0,0,1,0,0,0,0,1
39,B00IX1I3G6,AG57CQ6P4QWYMWUV6MTAOETUKHTA,5.0,Reload is super easy.,Really ready to reload gift cards.,POSITIVE,POSITIVE,ok,anticipation,no,anticipation,no,0,2,0,0,1,0,1,0,0,1
40,B071NM2PNL,AEN7KAKQJGIQCNK6NMVWH2WZ3YXQ,5.0,Convenience of giftabiliy.,A great way to give a gift to family members in physical form. It was so convenient.,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise,no,0,1,0,0,1,0,1,0,0,3
41,B014S24J16,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,5.0,Great Gift Package,Nice gift packaging for any event,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise,no,0,2,0,0,2,0,2,0,0,2
42,B00CIECDEM,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,5.0,Grest Sandwitches !!,Perfect and I even used Amazon Points - was mailed right out.,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;trust,no,0,1,0,0,1,0,0,1,0,1
43,B00HLAO738,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,5.0,GOOD PIZZA !!,Perfect and I even used Amazon Points - was mailed right out.,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;trust,no,0,2,0,0,2,0,1,2,0,2
44,B015726JLY,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,5.0,We like this Store and they stock Tons of different Items for all kinds of Pets,Our cats love this place.,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy,no,0,1,0,0,1,0,0,0,0,2
45,B076CV42TK,AHYARJU3M2CYM3W5SZYL33KOFVHA,5.0,Money was loaded on card,Was cute and the money was loaded when it arrived,POSITIVE,POSITIVE,ok,anger,yes,anger;anticipation;joy;surprise;trust,no,2,2,0,0,2,0,2,2,0,3
46,B07HJHK8Y5,AEG6UV72JH6WOHEAWLMNXT6J7F4A,5.0,👍,👍,POSITIVE,POSITIVE,ok,NO_MATCH,no,,yes,0,0,0,0,0,0,0,0,0,0
47,B086KKT3RX,AFZ2WFNVLG46EXHEF5AEG4LNR5JQ,5.0,Love it!!,This is an online gift card nothing to show sorry🤪,POSITIVE,POSITIVE,ok,joy,no,joy,no,0,1,0,0,2,0,1,1,0,2
48,B0091JKY0M,AHYPJP7HKAXKK2QZG3MRPVNHUQGQ,5.0,Five Stars,Gift cards are always a hit.,POSITIVE,POSITIVE,ok,anger,yes,anger;anticipation;joy;surprise,no,1,1,0,0,1,0,1,0,1,1
49,B072P5VV4D,AET5VFNIYKIHIPO3ZALZSLXX3KOQ,5.0,So cool you can get a free tin with the gift ...,So cool you can get a free tin with the gift card and it comes in 24 hours!! Super awesome. Last year I just printed off the gift cards which looked kind of cheap even though the cards were for substantial amounts. Highly recommend.,POSITIVE,POSITIVE,ok,joy,no,joy,no,0,3,0,0,4,0,3,2,1,7
50,B00IX1I3G6,AF76P2AWQWB7ZDCNGZO2GV7JIK4Q,5.0,Reccomend,Really easy to load,POSITIVE,POSITIVE,ok,NO_MATCH,no,,yes,0,0,0,0,0,0,0,0,0,0
