source_line,asin,user_id,rating,title,text,binary_sentiment,binary_status,llm_sentiment,llm_emotion,status,error_detail
1,B00IX1I3G6,AHZ6XMOLEWA67S3TX7IWEXXGWSOA,5.0,Great gift,Having Amazon money is always good.,POSITIVE,ok,POSITIVE,joy,ok,
2,B005ESMMWW,AFZUK3MTBIBEDQOPAK3OATUOUKLA,5.0,amazon gift card,Always the perfect gift.  I have never given one and had someone seem or act disappointed.  Just the opposite.  They are thrilled and excited to have a bit of a spree.  Always the perfect size and color!  Arrives in 1 day in most cases.  So it's never too late!  Lots of cards to chose from... thank you... birthday... wedding..baby..  and many that work for many occasions...,POSITIVE,ok,POSITIVE,joy,ok,
3,B01K8RIM5Y,AFZUK3MTBIBEDQOPAK3OATUOUKLA,5.0,perfect gift,When you have a person who is hard to shop for.. an amazon gift card is P E R F E C T.  Man or woman...  No matter what their hobby... lifestyle.. or age.  All you have to do is pick the $.  Don't forget to mention that it is a GIFT when you check out - you will have some gift card options.  I've ordered many of these over years.  They are always received with glee.  Woo hoo!  If you're looking for a great fit for me - this is just my size!  :)  Best to all!,POSITIVE,ok,POSITIVE,joy,ok,
4,B0091JKVU0,AFZUK3MTBIBEDQOPAK3OATUOUKLA,5.0,Nice looking,"The tin is a nice touch and pretty large.  It's about 4&#34; in diameter and about 1/2&#34; thick.  I added a pretty red ribbon and it is perfect.  Who doesn't love shopping on Amazon? Arrived quickly, I have Prime... but I think they ship the gift cards out SUPER fast... like over night. In case you need it for a FAST gift.",POSITIVE,ok,POSITIVE,joy,ok,
5,B00FTGTM5E,AH5L7ILVA6HYLZOUZIQAWNHVVK3A,1.0,Not $10 Gift Cards,"I bought this pack of Starbucks Gift cards in 2019. Ive given them to friends and I gave 2 to my daughter.<br />My daughter used one recently and it had $6.52 on the card not $10.00. She had the cashier check the balance of the other card and it had $5.32 on it! She had forgotten that she had these gift cards, so yes, 2 years later decided to use the when she found them! Do they decline in value? And then both had random amounts on them! I'm embarrassed now to have given them as gifts! Friends receiving the gift card aren't going to tell you that weren't able to cover their order with the card you gave them!!!",NEGATIVE,ok,NEGATIVE,anger,ok,
6,B072L7GTF5,AECABX3OO3GK7FCPZLFM3LT2E6UA,5.0,Cute!,That snowman tin is adorable,POSITIVE,ok,POSITIVE,joy,ok,
7,B00IX1I3G6,AFSCQMP2EPYLGJN7OBTMEXCBE2OQ,5.0,Easy gift,Great and easy gift,POSITIVE,ok,POSITIVE,joy,ok,
8,B072P5VV4D,AF4XAUOI5XPGWHCPOTORKBIJSRDA,5.0,Great gift,Super cute nice quality tin<br />Your choose amount,POSITIVE,ok,POSITIVE,joy,ok,
9,B072P5VV4D,AGJXTLEOLLTIX5AAGFPBZ7CNNVOQ,5.0,Gifts for my two granddaughters,They love it !!,POSITIVE,ok,POSITIVE,joy,ok,
10,B071NM2PNL,AG7QDTQYHFOIXFWSVUUBZOEIW2NA,5.0,"Great for saying “thank you” to the mail person, farrier, yard man,etc",So many people<br />Make your life better so remember them!,POSITIVE,ok,POSITIVE,joy,ok,
11,B01GKWEH64,AGVVUU3QRQBHNASSGI5YQLPYOI2Q,5.0,"Convenient, safe, and perfect gift","My grandson inlaw loves his gift cards, so it's the perfect gift for Christmas",POSITIVE,ok,POSITIVE,joy,ok,
12,B084RMVP59,AH4O5W3EM4CKQGHMBVTSPCJRYF7Q,5.0,Giftcard,"What can you say about a gift card? Well, it was valid. It's a good gift for someone who doesn't like to cook. Arrived promptly.",POSITIVE,ok,POSITIVE,trust,ok,
13,B07HJHK8Y5,AG3BG6PCNVQKVYNWHT7IJHEKUQAA,5.0,Simple giftcard!,Easy way to gift money for birthdays.,POSITIVE,ok,POSITIVE,joy,ok,
14,B0866T1TQJ,AG3BG6PCNVQKVYNWHT7IJHEKUQAA,5.0,Great giftcard,Great gift for online shoppers!,POSITIVE,ok,POSITIVE,joy,ok,
15,B00IX1I3G6,AFO3G62P2JXCNMWZTAIB56KPG56A,5.0,Easy..,Reloading is easy. Shopping is easy. Amazon is easy.,POSITIVE,ok,POSITIVE,trust,ok,
16,B00X6G8WCI,AEMW2ADCJBXXCQLXQVM3RJEK53TQ,1.0,One Star,Card did not work!!!!,NEGATIVE,ok,NEGATIVE,anger,ok,
17,B01K8RMDO0,AECK3BJSJOAFSKAAUD4ILDFXZ7KQ,5.0,Great Product.,I bought this for a Christmas gift.The recipient really liked it.,POSITIVE,ok,POSITIVE,joy,ok,
18,B01IE42ST4,AH5ZBPCVWAAGJCOPLXMFXD7PGIJQ,5.0,No note attached to sent gift card,"What a pretty gift card presentation , the recipient loved it ! I have one complaint , I took the time and wrote a short note to the recipient of the gift card so she knew who and why the GC was being sent but the note wasn’t attached. I’ve used the option to write a note on many occasions and several times it showed up without the note . I actually had to contact her to ask if she had checked her mail knowing it had arrived .",POSITIVE,ok,POSITIVE,anger,ok,
19,B06W5SBSL7,AFWK5HW3FB4HNVYJUHU5ZW7NPCYA,5.0,Gift card,Perfect! Arrived just when stated!,POSITIVE,ok,POSITIVE,joy,ok,
20,B078VSWVGY,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good,Good gift card,POSITIVE,ok,POSITIVE,joy,ok,
21,B072F9T6VX,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good Product,Good Product,POSITIVE,ok,POSITIVE,joy,ok,
